post_id,video_duration_min,avg_view_duration_sec,avg_view_percentage,subscribers_gained,ctr_percentage,impressions,likes,comments,shares,engagement_rate,estimated_views,traffic_source,content_category,viral_actual,viral_predicted,viral_probability,Feature_Name,Importance_Value,Model_Metric_Name,Model_Metric_Value
YT0000888,50.39,1669,55.2,242,4.64,665636,11632,7408,1651,0.0311,30886,Suggested,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000889,30.22,393,21.67,279,10.75,1997785,83628,538,2859,0.0436,214762,External,News,0,1,0.59,Not Applied,0.0,Not Applied,0.0
YT0000890,40.82,184,7.51,608,13.28,908495,37776,7918,2692,0.0533,120648,Suggested,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000891,40.45,528,21.76,454,5.16,1839918,23540,1131,1614,0.0143,94940,Notifications,News,0,0,0.13,Not Applied,0.0,Not Applied,0.0
YT0000892,38.05,1578,69.12,565,17.79,1224456,87073,1608,1666,0.0738,217831,Suggested,Reacts,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000893,18.83,132,11.68,126,20.86,884273,53491,6056,901,0.0684,184459,Search,Comedy,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000894,41.95,277,11.01,594,14.32,125397,12668,4699,1438,0.15,17957,Notifications,Gaming,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000895,41.48,1599,64.25,531,28.9,1012837,72207,6725,2621,0.0805,292710,Browse,News,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0000896,50.49,610,20.14,148,28.17,1972917,30490,17,2929,0.0169,555771,Notifications,Vlog,1,0,0.02,Not Applied,0.0,Not Applied,0.0
YT0000897,35.89,206,9.57,269,13.26,1780951,19345,1922,776,0.0124,236154,Suggested,Vlog,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000898,2.81,22,13.05,133,19.93,518943,30023,578,1559,0.062,103425,Suggested,Education,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0000899,4.72,276,97.46,504,25.53,1387312,74620,4442,2360,0.0587,354181,Notifications,News,1,1,0.66,Not Applied,0.0,Not Applied,0.0
YT0000900,49.47,2309,77.79,640,10.7,1622057,88408,2335,2832,0.0577,173560,Channel Page,Education,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000901,27.48,335,20.32,63,13.36,436509,64691,6859,1144,0.1665,58318,Notifications,News,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000902,20.71,773,62.21,37,10.63,1133651,70550,7570,2501,0.0711,120507,Browse,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000903,51.64,1930,62.29,13,16.06,172555,8960,6620,314,0.0921,27712,Browse,Comedy,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000904,44.66,696,25.97,503,22.0,582609,10938,6253,1011,0.0312,128174,External,Tech,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000905,51.85,2789,89.65,452,29.77,571672,9722,588,2628,0.0226,170187,Playlist,Music,0,0,0.14,Not Applied,0.0,Not Applied,0.0
YT0000906,48.78,2094,71.55,497,29.03,137100,78117,1896,561,0.5877,39800,Notifications,News,0,0,0.11,Not Applied,0.0,Not Applied,0.0
YT0000907,44.23,171,6.44,509,3.35,972813,71806,1497,2644,0.0781,32589,Shorts Feed,Comedy,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000908,46.41,2580,92.65,520,22.36,1235318,60786,3474,126,0.0521,276217,Notifications,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000909,17.43,968,92.56,405,2.43,1346565,43828,6195,955,0.0379,32722,Shorts Feed,Sports,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000910,41.8,459,18.3,683,6.67,1298985,9803,6852,2254,0.0146,86642,Search,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000911,17.54,306,29.08,11,7.97,1940377,5909,2887,193,0.0046,154648,Suggested,Education,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000912,41.74,235,9.38,520,28.88,1171062,36011,82,1974,0.0325,338203,Channel Page,Education,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000913,21.32,468,36.59,351,8.44,336670,40337,5101,1388,0.1391,28415,Browse,Vlog,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0000914,2.04,94,76.8,530,12.82,1073203,55930,2904,1158,0.0559,137585,Search,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000915,15.89,701,73.53,153,1.08,1725444,79192,1056,746,0.0469,18635,Channel Page,Sports,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000916,57.63,2398,69.35,596,6.37,1238520,65603,3155,1060,0.0564,78894,Playlist,Comedy,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000917,15.77,884,93.43,400,14.89,641018,1999,7514,515,0.0156,95448,Search,Gaming,0,0,0.02,Not Applied,0.0,Not Applied,0.0
YT0000918,28.8,1637,94.73,118,23.43,1796751,37375,7274,912,0.0254,420979,External,Tech,1,1,0.61,Not Applied,0.0,Not Applied,0.0
YT0000919,9.62,188,32.57,108,9.15,616975,54697,1735,2010,0.0947,56453,Playlist,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000920,37.79,1695,74.76,179,15.3,532487,33599,4205,348,0.0716,81471,Channel Page,Music,0,0,0.02,Not Applied,0.0,Not Applied,0.0
YT0000921,38.95,1952,83.53,225,28.5,1902887,50038,3579,951,0.0287,542323,Playlist,News,1,1,0.72,Not Applied,0.0,Not Applied,0.0
YT0000922,20.26,851,70.01,95,2.04,1667835,83569,805,216,0.0507,34024,Playlist,Education,0,0,0.08,Not Applied,0.0,Not Applied,0.0
YT0000923,21.86,334,25.47,312,26.02,529049,54905,2433,864,0.11,137659,Suggested,Comedy,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000924,29.43,392,22.2,259,2.44,404780,72885,4942,422,0.1933,9877,Channel Page,Education,0,0,0.17,Not Applied,0.0,Not Applied,0.0
YT0000925,41.33,2366,95.41,632,10.43,1053448,14735,6131,23,0.0198,109875,Notifications,Comedy,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0000926,15.58,509,54.45,70,25.23,403331,75873,1316,2208,0.1969,101760,Playlist,Vlog,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000927,23.72,1112,78.13,188,27.0,1283545,62766,7875,2573,0.057,346557,Shorts Feed,Comedy,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000928,26.33,389,24.62,396,28.8,353515,35050,4625,1833,0.1174,101812,Shorts Feed,Education,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000929,32.49,815,41.81,2,23.9,1617586,79762,2922,2647,0.0528,386603,Browse,Comedy,1,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000930,39.82,1272,53.24,180,12.08,687016,90446,459,1449,0.1344,82992,Browse,Music,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000931,9.36,186,33.12,42,15.41,1069947,78184,6915,1542,0.081,164879,Channel Page,Vlog,0,0,0.24,Not Applied,0.0,Not Applied,0.0
YT0000932,7.29,411,93.96,133,20.87,647158,70348,6699,148,0.1193,135062,Channel Page,Comedy,0,0,0.04,Not Applied,0.0,Not Applied,0.0
YT0000933,35.13,1502,71.26,11,19.69,1042258,11906,1723,2313,0.0153,205221,Suggested,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000934,46.14,2094,75.64,91,26.8,648560,46828,6082,31,0.0816,173814,Playlist,Reacts,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000935,31.28,1185,63.14,604,0.76,604891,29068,3352,537,0.0545,4597,Notifications,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000936,37.24,955,42.74,141,15.62,1352842,95918,7220,1621,0.0774,211314,Notifications,Reacts,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0000937,41.41,1508,60.69,233,12.67,1784491,25289,441,1399,0.0152,226095,Shorts Feed,Reacts,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000938,27.61,1231,74.31,372,7.96,1722198,46381,4273,283,0.0296,137087,External,Gaming,0,0,0.33,Not Applied,0.0,Not Applied,0.0
YT0000939,27.01,873,53.87,409,13.47,1379515,87023,1934,677,0.065,185821,Shorts Feed,Music,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000940,4.56,42,15.35,206,6.03,152787,69204,4949,1818,0.4972,9213,Shorts Feed,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000941,41.93,135,5.37,477,19.78,1573987,96086,2129,1974,0.0637,311335,Notifications,News,0,0,0.27,Not Applied,0.0,Not Applied,0.0
YT0000942,11.29,302,44.58,410,2.18,296913,42891,6512,167,0.167,6473,External,Comedy,0,0,0.27,Not Applied,0.0,Not Applied,0.0
YT0000943,14.35,516,59.93,375,26.3,975091,3000,3986,450,0.0076,256449,Browse,Sports,0,0,0.02,Not Applied,0.0,Not Applied,0.0
YT0000944,22.36,1290,96.15,77,1.23,1689496,48150,4313,2447,0.0325,20781,Search,Vlog,0,0,0.12,Not Applied,0.0,Not Applied,0.0
YT0000945,43.23,2219,85.55,223,26.88,1538165,95332,1842,2417,0.0647,413459,Shorts Feed,Tech,1,1,0.67,Not Applied,0.0,Not Applied,0.0
YT0000946,37.49,257,11.43,238,3.0,370863,31246,7159,2225,0.1096,11126,Channel Page,Education,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000947,58.99,2244,63.4,285,4.5,1443350,81139,5946,1644,0.0615,64951,Suggested,News,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000948,1.19,67,93.84,668,28.9,1659730,59942,5896,135,0.0397,479662,Search,Gaming,1,1,0.67,Not Applied,0.0,Not Applied,0.0
YT0000949,11.5,311,45.07,649,25.29,594025,48973,7926,585,0.0968,150229,External,Gaming,0,1,0.59,Not Applied,0.0,Not Applied,0.0
YT0000950,15.64,21,2.24,647,4.34,1102860,86807,2670,2863,0.0837,47864,Suggested,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000951,41.42,1830,73.64,166,8.7,1717169,73714,370,911,0.0437,149394,External,Reacts,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000952,20.63,460,37.16,278,15.45,656484,58357,1939,1361,0.0939,101427,Notifications,Education,0,0,0.08,Not Applied,0.0,Not Applied,0.0
YT0000953,36.92,88,3.97,400,29.41,822988,9943,2624,1340,0.0169,242041,Browse,Gaming,0,0,0.02,Not Applied,0.0,Not Applied,0.0
YT0000954,57.69,2073,59.89,176,25.78,765770,71585,437,2765,0.0977,197416,Search,Sports,0,0,0.06,Not Applied,0.0,Not Applied,0.0
YT0000955,55.51,2912,87.43,307,14.85,747895,62835,4362,2067,0.0926,111062,Shorts Feed,Gaming,0,0,0.27,Not Applied,0.0,Not Applied,0.0
YT0000956,57.11,1971,57.52,182,13.49,1610470,33020,6571,1214,0.0253,217252,Channel Page,Vlog,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0000957,50.09,2941,97.86,505,12.31,619905,79427,6423,803,0.1398,76310,Suggested,Comedy,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000958,13.11,612,77.8,60,6.57,520979,16247,7582,179,0.0461,34228,Suggested,Gaming,0,0,0.11,Not Applied,0.0,Not Applied,0.0
YT0000959,1.93,105,90.67,100,20.39,1520808,84858,6799,465,0.0606,310093,Browse,Vlog,0,0,0.47,Not Applied,0.0,Not Applied,0.0
YT0000960,17.04,721,70.52,374,17.82,201375,95647,955,1764,0.4885,35885,Search,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000961,59.68,483,13.49,138,25.79,1301079,18074,4135,2475,0.019,335548,Shorts Feed,Tech,0,0,0.04,Not Applied,0.0,Not Applied,0.0
YT0000962,23.75,538,37.75,604,22.61,13807,16724,6765,2861,1.9085,3122,Browse,News,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0000963,31.69,1248,65.64,294,19.12,874655,88535,5103,2646,0.1101,167234,Channel Page,Gaming,0,0,0.07,Not Applied,0.0,Not Applied,0.0
YT0000964,9.77,10,1.71,644,2.1,1818049,86797,4275,2737,0.0516,38179,Notifications,Sports,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000965,21.73,1230,94.34,533,12.64,51549,60679,7094,769,1.3296,6516,External,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000966,25.87,1067,68.74,639,0.43,463050,29688,1781,1135,0.0704,1991,Playlist,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000967,55.48,2750,82.61,369,12.45,1959894,34037,7110,1627,0.0218,244007,Suggested,Music,0,0,0.49,Not Applied,0.0,Not Applied,0.0
YT0000968,5.89,225,63.67,61,23.39,348859,60679,1714,473,0.1802,81598,Search,News,0,0,0.02,Not Applied,0.0,Not Applied,0.0
YT0000969,30.88,684,36.92,166,5.87,781442,21162,1761,1959,0.0318,45871,External,Music,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000970,57.43,2219,64.4,515,23.88,6615,82362,4045,416,13.1252,1580,Browse,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000971,47.4,1377,48.42,102,22.17,1703095,35418,4552,2930,0.0252,377576,External,News,1,1,0.62,Not Applied,0.0,Not Applied,0.0
YT0000972,42.59,1474,57.68,336,25.53,299375,66550,1234,2745,0.2356,76430,External,Music,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000973,26.11,56,3.57,232,8.69,1118461,57855,438,2764,0.0546,97194,Notifications,Reacts,0,0,0.09,Not Applied,0.0,Not Applied,0.0
YT0000974,8.21,354,71.86,689,7.79,706275,90510,5044,1217,0.137,55019,Channel Page,Gaming,0,0,0.27,Not Applied,0.0,Not Applied,0.0
YT0000975,51.02,955,31.2,666,19.66,1997433,28564,4027,459,0.0165,392695,Playlist,Music,1,1,0.59,Not Applied,0.0,Not Applied,0.0
YT0000976,59.93,1117,31.06,655,13.18,517107,52327,6673,1899,0.1178,68155,Search,Reacts,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000977,8.0,338,70.42,574,13.71,1830280,75776,5519,880,0.0449,250931,Playlist,Reacts,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000978,20.87,484,38.65,602,14.59,865173,95290,824,746,0.112,126229,Notifications,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000979,17.34,792,76.12,500,16.0,354395,68098,4041,2529,0.2107,56703,Suggested,Gaming,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000980,16.38,247,25.13,22,29.06,561589,3128,4640,2586,0.0184,163198,Suggested,Reacts,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000981,38.43,708,30.71,52,20.76,209930,56572,663,712,0.276,43581,External,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000982,17.78,611,57.27,272,7.46,1902191,16845,1887,2812,0.0113,141903,Playlist,Music,0,0,0.08,Not Applied,0.0,Not Applied,0.0
YT0000983,19.08,352,30.75,678,10.38,1810655,51222,5760,1167,0.0321,187946,Search,Vlog,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0000984,31.4,1038,55.1,76,26.08,1019721,6927,1729,2368,0.0108,265943,Channel Page,Gaming,0,0,0.09,Not Applied,0.0,Not Applied,0.0
YT0000985,31.54,660,34.88,27,18.35,1537959,76431,2510,776,0.0518,282215,Search,News,0,0,0.06,Not Applied,0.0,Not Applied,0.0
YT0000986,12.65,615,81.03,268,0.6,1551578,75885,4825,205,0.0522,9309,Playlist,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000987,18.23,661,60.43,504,21.92,1913411,67189,6472,1786,0.0394,419420,Channel Page,Sports,1,1,0.63,Not Applied,0.0,Not Applied,0.0
YT0000988,44.6,862,32.21,171,12.59,1877167,75552,4202,1254,0.0432,236335,Shorts Feed,Music,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000989,57.63,1835,53.07,145,27.68,888420,80551,5583,507,0.0975,245915,Channel Page,Music,0,0,0.05,Not Applied,0.0,Not Applied,0.0
YT0000990,36.57,1217,55.46,451,2.79,431842,83685,1704,934,0.1999,12048,Notifications,Reacts,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000991,54.14,952,29.31,257,21.31,369626,51376,70,1090,0.1421,78767,Shorts Feed,Gaming,0,0,0.11,Not Applied,0.0,Not Applied,0.0
YT0000992,44.43,1379,51.73,620,12.46,36713,90685,1433,1014,2.5368,4574,Search,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000993,32.5,65,3.33,449,8.66,814902,68441,2542,546,0.0878,70571,Shorts Feed,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000994,34.41,213,10.32,318,10.59,1088588,41735,1486,1038,0.0407,115281,Notifications,Reacts,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000995,16.67,61,6.1,418,5.83,1218234,67109,3595,82,0.0581,71023,Suggested,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000996,53.33,2980,93.13,372,0.44,1054636,66530,3419,1786,0.068,4640,Playlist,News,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000997,59.19,1171,32.97,685,4.4,1474380,99006,6057,408,0.0715,64873,Search,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000998,40.5,2358,97.04,672,16.17,1532406,23912,1495,213,0.0167,247790,Channel Page,Comedy,0,0,0.18,Not Applied,0.0,Not Applied,0.0
YT0000999,23.64,811,57.18,291,0.53,487276,65469,5814,1043,0.1484,2583,Channel Page,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001000,46.17,2303,83.13,430,21.74,1231231,83978,1141,385,0.0694,267670,External,Music,0,0,0.05,Not Applied,0.0,Not Applied,0.0
YT0001001,10.89,604,92.44,378,9.3,1747179,98254,2975,2441,0.0593,162488,Playlist,News,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001002,36.44,1246,56.99,43,22.55,774820,56103,2106,661,0.076,174722,Search,Sports,0,0,0.05,Not Applied,0.0,Not Applied,0.0
YT0001003,25.42,779,51.08,380,10.1,781390,84771,472,411,0.1096,78920,Shorts Feed,News,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001004,18.46,329,29.7,406,27.13,1860526,77485,5089,489,0.0446,504761,Channel Page,Tech,1,1,0.63,Not Applied,0.0,Not Applied,0.0
YT0001005,39.76,2093,87.73,502,26.44,346984,76908,3480,2699,0.2395,91743,External,Comedy,0,0,0.08,Not Applied,0.0,Not Applied,0.0
YT0001006,36.17,1255,57.83,364,2.09,492015,69970,7909,1759,0.1619,10283,External,Education,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0001007,9.69,345,59.34,116,5.09,813551,80647,4029,296,0.1044,41410,Browse,Music,0,0,0.05,Not Applied,0.0,Not Applied,0.0
YT0001008,16.3,107,10.94,514,15.83,432479,39027,1761,190,0.0948,68461,Shorts Feed,Music,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001009,52.94,1176,37.02,244,0.6,1194019,43478,1694,732,0.0384,7164,Search,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001010,59.96,3055,84.92,497,26.97,1315017,55121,4827,2925,0.0478,354660,Playlist,News,1,1,0.65,Not Applied,0.0,Not Applied,0.0
YT0001011,9.76,104,17.76,381,12.39,133597,99873,7696,1224,0.8143,16553,Shorts Feed,Reacts,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0001012,38.13,1532,66.96,453,14.04,503531,79486,4637,2707,0.1724,70696,Search,Music,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001013,23.41,1213,86.36,251,4.25,1578749,53876,892,2533,0.0363,67097,Notifications,News,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001014,45.79,2528,92.01,161,15.25,1711293,95393,1158,617,0.0568,260972,Notifications,News,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0001015,55.12,1032,31.2,416,29.66,349964,70286,2110,850,0.2093,103799,External,Vlog,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001016,34.9,1890,90.26,119,7.35,1057466,15235,2417,2229,0.0188,77724,Channel Page,Vlog,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001017,46.84,1213,43.16,460,3.41,904588,35345,1137,1178,0.0416,30846,Suggested,Education,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001018,14.91,224,25.04,179,11.65,31995,51778,1725,2022,1.7354,3727,Playlist,Tech,0,0,0.02,Not Applied,0.0,Not Applied,0.0
YT0001019,50.48,2347,77.49,421,25.64,494564,37162,3375,711,0.0834,126806,Shorts Feed,Education,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001020,37.67,433,19.16,137,5.64,1121969,34328,2516,1565,0.0342,63279,Notifications,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001021,54.88,1932,58.67,90,18.52,37426,54656,1068,1007,1.5158,6931,Playlist,Reacts,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001022,32.77,798,40.59,179,21.72,1653443,96461,1503,242,0.0594,359128,Playlist,Sports,1,1,0.57,Not Applied,0.0,Not Applied,0.0
YT0001023,54.52,3030,92.63,515,10.33,917696,90276,1428,729,0.1007,94798,External,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001024,53.44,2197,68.52,276,24.91,272742,99964,6446,2402,0.399,67940,Notifications,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001025,26.29,547,34.68,528,10.36,1279075,82082,5404,1251,0.0694,132512,Shorts Feed,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001026,55.57,601,18.03,655,19.2,1264209,62357,1432,2296,0.0523,242728,Suggested,Education,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001027,22.63,1222,90.0,104,0.2,1736957,8875,2036,2420,0.0077,3474,Channel Page,Music,0,0,0.22,Not Applied,0.0,Not Applied,0.0
YT0001028,15.38,144,15.6,253,24.35,1835923,85777,468,1104,0.0476,447047,Channel Page,Music,1,1,0.7,Not Applied,0.0,Not Applied,0.0
YT0001029,9.38,146,25.94,348,17.04,1411461,27256,3203,2067,0.023,240513,Shorts Feed,Vlog,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001030,37.23,1460,65.36,255,10.91,1239053,7528,4916,1033,0.0109,135181,Browse,Reacts,0,0,0.02,Not Applied,0.0,Not Applied,0.0
YT0001031,32.87,1363,69.11,92,12.93,820032,85154,6887,378,0.1127,106030,External,Reacts,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001032,52.46,1125,35.74,172,15.34,1025148,32572,2903,1905,0.0365,157258,Channel Page,Gaming,0,0,0.09,Not Applied,0.0,Not Applied,0.0
YT0001033,13.89,830,99.59,258,16.95,1044843,42846,1868,1627,0.0444,177101,Playlist,Education,0,0,0.05,Not Applied,0.0,Not Applied,0.0
YT0001034,51.59,1559,50.37,244,12.18,1831760,52618,4913,2830,0.033,223108,Playlist,Vlog,0,0,0.07,Not Applied,0.0,Not Applied,0.0
YT0001035,19.31,333,28.74,315,6.74,1676116,68302,4398,2287,0.0447,112970,External,Reacts,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0001036,15.12,241,26.57,41,24.8,1183783,47579,1554,2419,0.0435,293578,Suggested,Music,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001037,43.34,181,6.96,605,22.09,1215700,70773,513,2382,0.0606,268548,Search,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001038,50.24,2683,89.01,536,7.26,1836880,19030,5815,886,0.014,133357,Shorts Feed,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001039,45.43,437,16.03,178,7.38,1174246,51687,2564,638,0.0467,86659,Channel Page,Vlog,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001040,53.32,1627,50.86,104,10.79,1449638,90237,2094,2400,0.0653,156416,Suggested,Education,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001041,44.73,1271,47.36,171,1.71,1747898,47121,5383,2203,0.0313,29889,Suggested,Education,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001042,17.84,133,12.43,39,28.8,188458,88702,2730,311,0.4868,54276,Shorts Feed,Tech,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0001043,12.45,92,12.32,7,18.07,1732949,15668,343,2337,0.0106,313144,Playlist,Comedy,0,0,0.02,Not Applied,0.0,Not Applied,0.0
YT0001044,51.02,2713,88.63,442,3.36,553174,9079,4925,195,0.0257,18587,Search,Reacts,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001045,32.62,1390,71.02,149,6.25,84562,17737,6223,434,0.2885,5285,Shorts Feed,Education,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001046,47.66,417,14.58,262,3.67,1105492,83309,6470,352,0.0815,40572,Suggested,Music,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001047,14.09,474,56.07,31,24.48,1025934,93080,4175,351,0.0951,251149,Suggested,Vlog,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001048,28.06,418,24.83,250,21.72,1112864,4673,7059,2029,0.0124,241714,Shorts Feed,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001049,32.74,1603,81.6,423,13.1,616807,89663,6117,1787,0.1582,80802,Channel Page,News,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001050,37.84,1433,63.12,525,5.42,1890264,19714,4052,1375,0.0133,102452,Suggested,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001051,44.96,59,2.19,320,29.34,1893250,9903,7266,463,0.0093,555480,External,News,1,1,0.96,Not Applied,0.0,Not Applied,0.0
YT0001052,49.25,1959,66.29,498,7.08,570397,76899,2652,2151,0.1432,40384,Browse,Sports,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0001053,32.85,450,22.83,192,10.97,868405,67766,2813,2926,0.0846,95264,Search,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001054,4.62,126,45.45,2,4.66,1049788,71513,6700,2186,0.0766,48920,External,Reacts,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0001055,50.68,1448,47.62,360,29.16,376192,50802,464,717,0.1382,109698,Channel Page,Music,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001056,38.19,1639,71.53,367,19.39,1563504,95286,573,1267,0.0621,303163,Search,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001057,7.62,5,1.09,638,22.37,1998764,75297,4924,2629,0.0415,447124,Notifications,Comedy,1,0,0.41,Not Applied,0.0,Not Applied,0.0
YT0001058,18.41,871,78.85,234,17.8,1775069,18015,1021,99,0.0108,315962,Search,News,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0001059,59.84,2574,71.69,43,13.6,199902,64273,1743,785,0.3342,27187,Channel Page,Reacts,0,0,0.12,Not Applied,0.0,Not Applied,0.0
YT0001060,49.22,2268,76.8,306,1.22,174974,71314,7418,1581,0.459,2135,Shorts Feed,Comedy,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0001061,32.41,392,20.16,276,29.61,202075,14256,6342,1783,0.1108,59834,Shorts Feed,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0001062,58.64,163,4.63,112,29.84,319807,89159,1087,456,0.2836,95430,Playlist,Comedy,0,0,0.2,Not Applied,0.0,Not Applied,0.0
